"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"MountingHole_4.3mm_M4---PASTY";2;"MountingHole_4.3mm_M4---PASTY";;;
2;"C19,C4,C18,C6,C7,C8,C9,C10,C11,C13,C15,C16,C17";"C_0603_1608Metric";13;"100nF";;;
3;"IC4,IC3";"SC-70-6";2;"SIP32431";;;
4;"R8";"R_0603_1608Metric";1;"1M";;;
5;"R7,R4,R5,R6,R3";"R_0603_1608Metric";5;"100k";;;
6;"BT1";"BatteryHolder_Keystone_3008_1x2450";1;"Coin Cell";;;
7;"CON1";"HFW6R_2STE1LF";1;"FPC_6POS";;;
8;"L1";"C_0603_1608Metric";1;"SMD-FERRITE-CHIP-120-OHM-500MA_0603_";;;
9;"C3,C2";"C_0603_1608Metric";2;"15pF";;;
10;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"Crystal_Small";;;
11;"C1";"SCMQ14C474PRBA0";1;"SuperCap";;;
12;"C5";"C_0603_1608Metric";1;"100uF";;;
13;"C12,C14";"C_0603_1608Metric";2;"10uF";;;
14;"IC1";"TQFP-48_7x7mm_P0.5mm";1;"ATSAMD21G18A-AU";;;
15;"IC2";"SOT-23-6";1;"TLP5010";;;
16;"R1";"R_0603_1608Metric";1;"54.9k";;;
17;"R2";"R_0603_1608Metric";1;"196k";;;
18;"U1";"nRF24L01_Breakout";1;"NRF24L01_Breakout";;;
19;"U2";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
